word,tier,source
hungry,A1,curated-sample
kind,A2,curated-sample
red,A1,curated-sample
blue,A1,curated-sample
green,A1,curated-sample
what,A1,cefr-widen
who,A1,cefr-widen
my,A1,cefr-widen
me,A1,cefr-widen
your,A1,cefr-widen
us,A1,cefr-widen
these,A1,cefr-widen
those,A1,cefr-widen
where,A1,cefr-widen
why,A1,cefr-widen
how,A1,cefr-widen
which,A1,cefr-widen
long,A1,cefr-widen
line,A1,cefr-widen
sound,A2,cefr-widen
part,A2,cefr-widen
end,A1,cefr-widen
if,A1,cefr-widen
because,A1,cefr-widen
always,A1,cefr-widen
never,A1,cefr-widen
today,A1,cefr-widen
also,A1,cefr-widen
many,A1,cefr-widen
most,A2,cefr-widen
any,A1,cefr-widen
other,A1,cefr-widen
same,A1,cefr-widen
high,A1,cefr-widen
low,A2,cefr-widen
take,A1,cefr-widen
put,A1,cefr-widen
become,A1,cefr-widen
keep,A1,cefr-widen
turn,A1,cefr-widen
am,A1,cefr-widen
about,A1,cefr-widen
above,A1,cefr-widen
action,A1,cefr-widen
activity,A1,cefr-widen
actor,A1,cefr-widen
add,A1,cefr-widen
address,A1,cefr-widen
afraid,A1,cefr-widen
afternoon,A1,cefr-widen
age,A1,cefr-widen
ago,A1,cefr-widen
agree,A1,cefr-widen
airplane,A1,cefr-widen
aeroplane,A1,cefr-widen
airport,A1,cefr-widen
album,A1,cefr-widen
almost,A1,cefr-widen
along,A1,cefr-widen
already,A1,cefr-widen
angry,A1,cefr-widen
animal,A1,cefr-widen
another,A1,cefr-widen
answer,A1,cefr-widen
anybody,A1,cefr-widen
anyone,A1,cefr-widen
anything,A1,cefr-widen
apple,A1,cefr-widen
april,A1,cefr-widen
apron,A1,cefr-widen
are,A1,cefr-widen
arm,A1,cefr-widen
arrive,A1,cefr-widen
art,A1,cefr-widen
article,A1,cefr-widen
august,A1,cefr-widen
aunt,A1,cefr-widen
autumn,A1,cefr-widen
awake,A1,cefr-widen
away,A1,cefr-widen
baby,A1,cefr-widen
bag,A1,cefr-widen
ball,A1,cefr-widen
banana,A1,cefr-widen
band,A1,cefr-widen
bank,A1,cefr-widen
bar,A1,cefr-widen
baseball,A1,cefr-widen
basketball,A1,cefr-widen
bat,A1,cefr-widen
bath,A1,cefr-widen
bathroom,A1,cefr-widen
beach,A1,cefr-widen
bean,A1,cefr-widen
bear,A1,cefr-widen
beautiful,A1,cefr-widen
bed,A1,cefr-widen
bedroom,A1,cefr-widen
bee,A1,cefr-widen
beef,A1,cefr-widen
before,A1,cefr-widen
begin,A1,cefr-widen
behind,A1,cefr-widen
believe,A1,cefr-widen
bell,A1,cefr-widen
below,A1,cefr-widen
beside,A1,cefr-widen
best,A1,cefr-widen
better,A1,cefr-widen
