word,tier,source
concise,ACT,exam-curated
condemn,ACT,exam-curated
condone,GRE,exam-curated
conducive,SAT,exam-curated
confound,GRE,exam-curated
confront,ACT,exam-curated
congenial,SAT,exam-curated
connoisseur,GRE,exam-curated
conscientious,ACT,exam-curated
consecutive,ACT,exam-curated
conspicuous,SAT,exam-curated
constrain,ACT,exam-curated
contempt,ACT,exam-curated
contend,ACT,exam-curated
contentious,GRE,exam-curated
contrite,GRE,exam-curated
conundrum,GRE,exam-curated
convey,ACT,exam-curated
convivial,SAT,exam-curated
convoluted,GRE,exam-curated
copious,GRE,exam-curated
cordial,SAT,exam-curated
corroborate,GRE,exam-curated
covert,SAT,exam-curated
craven,SAT,exam-curated
credulous,GRE,exam-curated
crucial,ACT,exam-curated
cryptic,GRE,exam-curated
culpable,GRE,exam-curated
cunning,ACT,exam-curated
cursory,GRE,exam-curated
daunting,SAT,exam-curated
dearth,GRE,exam-curated
debacle,GRE,exam-curated
debase,SAT,exam-curated
decisive,ACT,exam-curated
decorous,GRE,exam-curated
dedicate,ACT,exam-curated
deference,GRE,exam-curated
defiant,ACT,exam-curated
deft,SAT,exam-curated
deleterious,GRE,exam-curated
deliberate,ACT,exam-curated
demeanor,ACT,exam-curated
demure,SAT,exam-curated
denounce,ACT,exam-curated
deplete,SAT,exam-curated
deplore,SAT,exam-curated
deprive,ACT,exam-curated
deride,GRE,exam-curated
derivative,GRE,exam-curated
desiccate,GRE,exam-curated
despot,SAT,exam-curated
deter,ACT,exam-curated
determ,SAT,exam-curated
detrimental,ACT,exam-curated
devastate,ACT,exam-curated
devout,SAT,exam-curated
diaphanous,GRE,exam-curated
didactic,GRE,exam-curated
diffident,GRE,exam-curated
dignity,ACT,exam-curated
dilatory,GRE,exam-curated
diligent,SAT,exam-curated
diminish,ACT,exam-curated
diminutive,SAT,exam-curated
discern,SAT,exam-curated
discreet,ACT,exam-curated
disdain,SAT,exam-curated
dismal,ACT,exam-curated
dismay,SAT,exam-curated
disparage,GRE,exam-curated
disparate,GRE,exam-curated
disparity,SAT,exam-curated
dispel,SAT,exam-curated
disperse,SAT,exam-curated
dispute,ACT,exam-curated
disquiet,SAT,exam-curated
dissemble,GRE,exam-curated
disseminate,GRE,exam-curated
dissent,SAT,exam-curated
diverse,SAT,exam-curated
divulge,ACT,exam-curated
docile,SAT,exam-curated
dogmatic,GRE,exam-curated
dominant,ACT,exam-curated
drab,ACT,exam-curated
dubious,GRE,exam-curated
dwindle,ACT,exam-curated
ebullient,GRE,exam-curated
eccentric,SAT,exam-curated
eclectic,GRE,exam-curated
efficacy,GRE,exam-curated
effrontery,GRE,exam-curated
egregious,SAT,exam-curated
elegy,GRE,exam-curated
elicit,SAT,exam-curated
eloquent,GRE,exam-curated
elude,ACT,exam-curated
elusive,SAT,exam-curated
emaciate,SAT,exam-curated
embark,ACT,exam-curated
embellish,SAT,exam-curated
eminent,SAT,exam-curated
empathy,SAT,exam-curated
emulate,GRE,exam-curated
enamored,SAT,exam-curated
endeavor,SAT,exam-curated
endorse,ACT,exam-curated
endure,ACT,exam-curated
enervate,GRE,exam-curated
engender,GRE,exam-curated
enhance,ACT,exam-curated
enigma,SAT,exam-curated
enigmatic,GRE,exam-curated
enmity,SAT,exam-curated
enthrall,ACT,exam-curated
ephemera,SAT,exam-curated
ephemeral,GRE,exam-curated
equanimity,GRE,exam-curated
equivocate,GRE,exam-curated
erode,ACT,exam-curated
erratic,ACT,exam-curated
erudite,GRE,exam-curated
esoteric,GRE,exam-curated
eulogy,GRE,exam-curated
euphemism,GRE,exam-curated
evade,ACT,exam-curated
evanescent,GRE,exam-curated
exacerbate,GRE,exam-curated
exalt,ACT,exam-curated
exceed,ACT,exam-curated
exculpate,GRE,exam-curated
exemplary,GRE,exam-curated
exemplify,SAT,exam-curated
exempt,ACT,exam-curated
exert,ACT,exam-curated
exhaust,ACT,exam-curated
exhaustive,SAT,exam-curated
exhilarate,SAT,exam-curated
exonerate,GRE,exam-curated
exotic,SAT,exam-curated
expedient,GRE,exam-curated
expedite,SAT,exam-curated
expel,ACT,exam-curated
exquisite,ACT,exam-curated
extol,GRE,exam-curated
extraneous,GRE,exam-curated
fastidious,GRE,exam-curated
fatigue,ACT,exam-curated
fatuous,GRE,exam-curated
feeble,ACT,exam-curated
ferocious,ACT,exam-curated
fervid,GRE,exam-curated
fickle,SAT,exam-curated
flaunt,ACT,exam-curated
fleeting,ACT,exam-curated
flourish,SAT,exam-curated
flout,GRE,exam-curated
foment,GRE,exam-curated
forbearance,GRE,exam-curated
forlorn,ACT,exam-curated
formidable,SAT,exam-curated
fortitude,SAT,exam-curated
fortuitous,GRE,exam-curated
fractious,GRE,exam-curated
frail,ACT,exam-curated
frantic,ACT,exam-curated
frivolous,SAT,exam-curated
frugal,GRE,exam-curated
furtive,SAT,exam-curated
futile,SAT,exam-curated
garrulous,GRE,exam-curated
generic,ACT,exam-curated
genuine,ACT,exam-curated
germane,GRE,exam-curated
grandiose,GRE,exam-curated
gregarious,GRE,exam-curated
grievous,SAT,exam-curated
grim,ACT,exam-curated
grueling,ACT,exam-curated
guile,GRE,exam-curated
gullible,SAT,exam-curated
hackneyed,GRE,exam-curated
hamper,SAT,exam-curated
harangue,GRE,exam-curated
hardy,SAT,exam-curated
hasty,ACT,exam-curated
haughty,GRE,exam-curated
hearty,ACT,exam-curated
hedonist,GRE,exam-curated
hegemony,GRE,exam-curated
heresy,GRE,exam-curated
hindrance,SAT,exam-curated
hoard,ACT,exam-curated
hostile,SAT,exam-curated
humble,ACT,exam-curated
humility,SAT,exam-curated
iconoclast,GRE,exam-curated
idiosyncrasy,SAT,exam-curated
idle,ACT,exam-curated
idyllic,GRE,exam-curated
immaculate,SAT,exam-curated
immense,SAT,exam-curated
immerse,ACT,exam-curated
impair,ACT,exam-curated
impartial,SAT,exam-curated
impassive,GRE,exam-curated
impecunious,GRE,exam-curated
impede,SAT,exam-curated
imperious,GRE,exam-curated
impertinent,SAT,exam-curated
impervious,SAT,exam-curated
impetuous,GRE,exam-curated
impetus,SAT,exam-curated
implacable,GRE,exam-curated
impose,ACT,exam-curated
impute,GRE,exam-curated
incessant,SAT,exam-curated
inchoate,GRE,exam-curated
incisive,GRE,exam-curated
incline,ACT,exam-curated
incoherent,SAT,exam-curated
indifferent,SAT,exam-curated
indignant,SAT,exam-curated
indolent,GRE,exam-curated
indulge,ACT,exam-curated
ineffable,GRE,exam-curated
inept,GRE,exam-curated
inevitable,ACT,exam-curated
inexorable,GRE,exam-curated
infamous,SAT,exam-curated
ingenious,SAT,exam-curated
ingenuous,GRE,exam-curated
inhabit,ACT,exam-curated
inimical,GRE,exam-curated
innate,SAT,exam-curated
innocuous,GRE,exam-curated
innovative,SAT,exam-curated
insidious,GRE,exam-curated
insipid,GRE,exam-curated
insist,ACT,exam-curated
integral,ACT,exam-curated
intense,ACT,exam-curated
intransigent,GRE,exam-curated
intrepid,SAT,exam-curated
intricate,SAT,exam-curated
inundate,GRE,exam-curated
inveterate,GRE,exam-curated
irascible,GRE,exam-curated
itinerant,GRE,exam-curated
jovial,SAT,exam-curated
jubilant,SAT,exam-curated
juxtapose,GRE,exam-curated
keen,ACT,exam-curated
kindle,SAT,exam-curated
laconic,GRE,exam-curated
lament,SAT,exam-curated
languid,GRE,exam-curated
languish,SAT,exam-curated
largess,GRE,exam-curated
laud,GRE,exam-curated
lavish,SAT,exam-curated
lenient,ACT,exam-curated
lethargic,SAT,exam-curated
loathe,SAT,exam-curated
lofty,SAT,exam-curated
loquacious,GRE,exam-curated
lucid,GRE,exam-curated
lugubrious,GRE,exam-curated
luminous,SAT,exam-curated
lure,ACT,exam-curated
magnanimous,GRE,exam-curated
magnify,SAT,exam-curated
malice,SAT,exam-curated
malign,ACT,exam-curated
malleable,GRE,exam-curated
maverick,GRE,exam-curated
meager,SAT,exam-curated
meander,SAT,exam-curated
menace,SAT,exam-curated
mendacious,GRE,exam-curated
mercurial,GRE,exam-curated
meticulous,GRE,exam-curated
mimic,SAT,exam-curated
misanthrope,GRE,exam-curated
mitigate,GRE,exam-curated
mollify,GRE,exam-curated
morose,GRE,exam-curated
mundane,GRE,exam-curated
murky,ACT,exam-curated
myriad,GRE,exam-curated
nadir,GRE,exam-curated
naive,SAT,exam-curated
nefarious,GRE,exam-curated
nimble,ACT,exam-curated
nocturnal,SAT,exam-curated
nonchalant,GRE,exam-curated
notorious,ACT,exam-curated
noxious,SAT,exam-curated
nuance,SAT,exam-curated
nurture,ACT,exam-curated
obdurate,GRE,exam-curated
obfuscate,GRE,exam-curated
oblique,GRE,exam-curated
obscure,SAT,exam-curated
obsequious,GRE,exam-curated
obsolete,SAT,exam-curated
obstinate,GRE,exam-curated
obtuse,GRE,exam-curated
officious,GRE,exam-curated
ominous,SAT,exam-curated
onerous,GRE,exam-curated
opaque,GRE,exam-curated
oppress,ACT,exam-curated
opulent,GRE,exam-curated
ornate,SAT,exam-curated
ostentatious,GRE,exam-curated
ostracize,SAT,exam-curated
outrage,ACT,exam-curated
pacify,ACT,exam-curated
palatable,SAT,exam-curated
paltry,GRE,exam-curated
paradigm,GRE,exam-curated
paragon,GRE,exam-curated
paramount,SAT,exam-curated
parch,ACT,exam-curated
partisan,GRE,exam-curated
paucity,GRE,exam-curated
peculiar,SAT,exam-curated
pedantic,GRE,exam-curated
peevish,ACT,exam-curated
penchant,GRE,exam-curated
penurious,GRE,exam-curated
perceptive,SAT,exam-curated
perfidious,GRE,exam-curated
perfunctory,GRE,exam-curated
perilous,SAT,exam-curated
perish,ACT,exam-curated
pernicious,GRE,exam-curated
persist,ACT,exam-curated
perspicacious,GRE,exam-curated
pertinent,ACT,exam-curated
petulant,GRE,exam-curated
phlegmatic,GRE,exam-curated
pious,GRE,exam-curated
pithy,GRE,exam-curated
placate,GRE,exam-curated
placid,SAT,exam-curated
platitude,GRE,exam-curated
plausible,SAT,exam-curated
plethora,GRE,exam-curated
plummet,SAT,exam-curated
poignant,GRE,exam-curated
ponder,SAT,exam-curated
potent,ACT,exam-curated
pragmatic,GRE,exam-curated
precarious,GRE,exam-curated
precipitate,GRE,exam-curated
predecessor,SAT,exam-curated
predilection,GRE,exam-curated
preposterous,GRE,exam-curated
pretentious,SAT,exam-curated
prevail,ACT,exam-curated
prevalent,SAT,exam-curated
prevaricate,GRE,exam-curated
pristine,GRE,exam-curated
probity,GRE,exam-curated
proclivity,GRE,exam-curated
prodigal,GRE,exam-curated
profligate,GRE,exam-curated
profound,SAT,exam-curated
profuse,GRE,exam-curated
proliferate,GRE,exam-curated
prolific,SAT,exam-curated
prompt,ACT,exam-curated
prone,ACT,exam-curated
propensity,GRE,exam-curated
propitious,GRE,exam-curated
prosaic,GRE,exam-curated
prosper,ACT,exam-curated
prosperous,SAT,exam-curated
provoke,SAT,exam-curated
prudent,GRE,exam-curated
puerile,GRE,exam-curated
pugnacious,GRE,exam-curated
punctilious,GRE,exam-curated
quaint,SAT,exam-curated
quandary,SAT,exam-curated
quiescent,GRE,exam-curated
quiver,ACT,exam-curated
quixotic,GRE,exam-curated
quotidian,GRE,exam-curated
rampant,SAT,exam-curated
rancorous,GRE,exam-curated
rash,ACT,exam-curated
ravenous,SAT,exam-curated
rebuke,GRE,exam-curated
recalcitrant,GRE,exam-curated
reckless,ACT,exam-curated
reclusive,SAT,exam-curated
recondite,GRE,exam-curated
redolent,GRE,exam-curated
redundant,SAT,exam-curated
refine,ACT,exam-curated
refute,GRE,exam-curated
relegate,GRE,exam-curated
relentless,SAT,exam-curated
relish,ACT,exam-curated
reluctant,ACT,exam-curated
reminisce,SAT,exam-curated
remonstrate,GRE,exam-curated
remorse,SAT,exam-curated
render,ACT,exam-curated
renounce,SAT,exam-curated
reprehensible,SAT,exam-curated
reprobate,GRE,exam-curated
rescind,GRE,exam-curated
resent,ACT,exam-curated
resilient,SAT,exam-curated
restrain,ACT,exam-curated
reticent,GRE,exam-curated
retort,ACT,exam-curated
revere,ACT,exam-curated
reverence,SAT,exam-curated
reverent,GRE,exam-curated
rhetoric,GRE,exam-curated
rigid,ACT,exam-curated
robust,SAT,exam-curated
rouse,ACT,exam-curated
rustic,SAT,exam-curated
ruthless,ACT,exam-curated
sagacious,GRE,exam-curated
salient,GRE,exam-curated
sanctimonious,GRE,exam-curated
sanguine,GRE,exam-curated
sardonic,GRE,exam-curated
savory,ACT,exam-curated
scarce,ACT,exam-curated
scorn,ACT,exam-curated
scrupulous,GRE,exam-curated
scrutinize,SAT,exam-curated
seldom,ACT,exam-curated
serene,SAT,exam-curated
serpentine,GRE,exam-curated
severe,ACT,exam-curated
shrewd,ACT,exam-curated
skeptical,SAT,exam-curated
sluggish,ACT,exam-curated
solace,SAT,exam-curated
solemn,SAT,exam-curated
somber,SAT,exam-curated
soothe,ACT,exam-curated
soporific,GRE,exam-curated
sparse,SAT,exam-curated
specious,GRE,exam-curated
spontaneous,SAT,exam-curated
sporadic,SAT,exam-curated
sprawl,ACT,exam-curated
spurious,GRE,exam-curated
squalid,SAT,exam-curated
squander,GRE,exam-curated
stagnant,SAT,exam-curated
staid,GRE,exam-curated
stark,ACT,exam-curated
staunch,SAT,exam-curated
steadfast,SAT,exam-curated
stern,ACT,exam-curated
stifle,SAT,exam-curated
stoic,GRE,exam-curated
stolid,GRE,exam-curated
strident,GRE,exam-curated
strive,ACT,exam-curated
stymie,GRE,exam-curated
subdue,ACT,exam-curated
sublime,GRE,exam-curated
substantiate,GRE,exam-curated
subtle,SAT,exam-curated
summon,ACT,exam-curated
superb,ACT,exam-curated
superficial,SAT,exam-curated
superfluous,GRE,exam-curated
surpass,SAT,exam-curated
surreptitious,GRE,exam-curated
swift,ACT,exam-curated
sycophant,GRE,exam-curated
tacit,GRE,exam-curated
taciturn,GRE,exam-curated
tangential,GRE,exam-curated
tangible,SAT,exam-curated
tedious,SAT,exam-curated
temperate,SAT,exam-curated
tempt,ACT,exam-curated
tenacious,SAT,exam-curated
tentative,SAT,exam-curated
tenuous,GRE,exam-curated
thrive,ACT,exam-curated
timid,SAT,exam-curated
timorous,GRE,exam-curated
toil,ACT,exam-curated
torpor,GRE,exam-curated
tortuous,GRE,exam-curated
tractable,GRE,exam-curated
tranquil,SAT,exam-curated
transient,GRE,exam-curated
treacherous,ACT,exam-curated
trenchant,GRE,exam-curated
trite,GRE,exam-curated
trivial,SAT,exam-curated
truculent,GRE,exam-curated
turbulent,SAT,exam-curated
turgid,GRE,exam-curated
turmoil,ACT,exam-curated
ubiquitous,GRE,exam-curated
umbrage,GRE,exam-curated
undaunted,ACT,exam-curated
undermine,GRE,exam-curated
unequivocal,GRE,exam-curated
unfettered,GRE,exam-curated
untenable,GRE,exam-curated
uphold,ACT,exam-curated
urbane,GRE,exam-curated
vacant,ACT,exam-curated
vacillate,GRE,exam-curated
vague,ACT,exam-curated
vain,SAT,exam-curated
valiant,SAT,exam-curated
vanquish,ACT,exam-curated
vapid,GRE,exam-curated
vast,SAT,exam-curated
vehement,SAT,exam-curated
venerable,SAT,exam-curated
venerate,GRE,exam-curated
veracity,GRE,exam-curated
verbose,GRE,exam-curated
versatile,SAT,exam-curated
vex,GRE,exam-curated
vibrant,SAT,exam-curated
vigilant,GRE,exam-curated
vigorous,SAT,exam-curated
vile,ACT,exam-curated
vilify,GRE,exam-curated
vindicate,GRE,exam-curated
virulent,GRE,exam-curated
viscous,GRE,exam-curated
vitriolic,GRE,exam-curated
vituperate,GRE,exam-curated
vivid,SAT,exam-curated
vocal,ACT,exam-curated
void,ACT,exam-curated
volatile,SAT,exam-curated
voracious,GRE,exam-curated
vow,ACT,exam-curated
wanton,GRE,exam-curated
wary,GRE,exam-curated
weary,ACT,exam-curated
whimsical,SAT,exam-curated
wilt,ACT,exam-curated
winsome,GRE,exam-curated
wither,SAT,exam-curated
withstand,ACT,exam-curated
wrath,ACT,exam-curated
yield,ACT,exam-curated
zeal,SAT,exam-curated
zealous,GRE,exam-curated
zenith,GRE,exam-curated
